Transaction Hash,UnixTimestamp,DateTime (UTC),From,Empresa,To,TokenValue,USDValueDayOfTx,ContractAddress,TokenSymbol
0x63e09ad9a1e2662dddae6f9868fe7a691d81f23d7e9b23d4203dc64eb82b88c2,1738598742,2/3/2025 16:05,0x45287b34d122a78c062f395222eb711c2732db2c,#N/A,0x90ef96bcfb3e798c6565cbba6a587f14b58003d3, $1.00 ,$1.00 ,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,USDT0
0x49f0fe34b72d3493a321bc713a59201aae45f43e4f22b8f83de8edba92830da8,1738598794,2/3/2025 16:06,0x90ef96bcfb3e798c6565cbba6a587f14b58003d3,Zabio,0x45287b34d122a78c062f395222eb711c2732db2c, $1.00 ,$1.00 ,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,USDT0
0xf0e0e4620cfbda7eb633cc103c02b89fac67ecdcc993e7b94c017b3f981db52c,1738598850,2/3/2025 16:07,0x45287b34d122a78c062f395222eb711c2732db2c,#N/A,0x90ef96bcfb3e798c6565cbba6a587f14b58003d3," $1,502.00 ","$1,501.57 ",0xc2132d05d31c914a87c6611c10748aeb04b58e8f,USDT0
0x0f5dbd1db5397158e74275d1d1eeb3990cf0d555d15bf44236f08961764583f3,1738598925,2/3/2025 16:08,0x45287b34d122a78c062f395222eb711c2732db2c,Wesley Smith,0x90ef96bcfb3e798c6565cbba6a587f14b58003d3,"401,822,942",N/A,0xd81f68696bac233eef8da6f5a374af5497141457,COPC
0xa396dce0f6fe94716dbaca0d61ad0fef7633b0b5122c574a37544d131d444644,1738608098,2/3/2025 18:41,0x90ef96bcfb3e798c6565cbba6a587f14b58003d3,Wesley Smith,0xd518414d370464d78557ee63d49db794ae91edc3,"2,000",N/A,0xd81f68696bac233eef8da6f5a374af5497141457,COPC
0xa396dce0f6fe94716dbaca0d61ad0fef7633b0b5122c574a37544d131d444644,1738608098,2/3/2025 18:41,0xd518414d370464d78557ee63d49db794ae91edc3,Wesley Smith,0x90ef96bcfb3e798c6565cbba6a587f14b58003d3, $1.00 ,$1.00 ,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,USDT0
0xca4fe10b5c439e5b2ef01611144be350307ed79fb623fb157f43a7904df09b8a,1738623722,2/3/2025 23:02,0x90ef96bcfb3e798c6565cbba6a587f14b58003d3,Zabio,0xcdd756b126497e25e03ead281b4b8273ccd4533f, $1.00 ,$1.00 ,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,USDT0
0xa354ff66f215070f6409ad4913f286793e133ca6d3f7a9fa57a16143207e0e06,1738693477,2/4/2025 18:24,0x90ef96bcfb3e798c6565cbba6a587f14b58003d3,MiTec,0x71133c094ae933a779652a1201b5be923818d51d,"9,886,798.16",N/A,0xd81f68696bac233eef8da6f5a374af5497141457,COPC
0xd32e106dab20d2a363ab1be515212fbed9a649c46c402232bea336a69685bf4f,1738693553,2/4/2025 18:25,0x90ef96bcfb3e798c6565cbba6a587f14b58003d3,MiTec,0x71133c094ae933a779652a1201b5be923818d51d, $125.67 ,$125.80 ,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,USDT0
0xe037207b3bcfdeb70cc9ee74c196d1d2145ff21fc9146b7dd2d5ecdf45389e03,1738693589,2/4/2025 18:26,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,MiTec,0x90ef96bcfb3e798c6565cbba6a587f14b58003d3,1,N/A,0x2d492b2fa06737d24d062f849286384ae6ccb204,ERC-20 TOKEN*
